TS,TEMP,WIND
2018-11-23,31.6,10.5
2018-11-24,32.5,1.5
2018-11-25,38.4,2.4
2018-11-26,39,2.6
2018-11-27,37.7,5.4
2018-11-28,32.8,2.3
2018-11-29,41.5,5.2
2018-11-30,48.9,3.7
2018-12-01,47.2,7.3
2018-12-02,42,8
2018-12-03,38.6,14
2018-12-04,33,6.8
2018-12-05,31.5,3.7
2018-12-06,37.7,5.3
2018-12-07,34.5,2.7
2018-12-08,34.5,4.5
2018-12-09,29.8,11.9
2018-12-10,22.4,6.8
2018-12-11,21.6,3.9
2018-12-12,32,7.4
2018-12-13,36.1,5.9
2018-12-14,29.9,7.2
2018-12-15,20.8,11.6
2018-12-16,8.7,7.9
2018-12-17,22.7,7.6
2018-12-18,36.7,13.9
2018-12-19,19.1,8.5
2018-12-20,14.7,3.3
2018-12-21,28.5,7.3
2018-12-22,31.1,4.4
2018-12-23,37.1,6.8
2018-12-24,36.8,8.8
2018-12-25,38.6,11.7
2018-12-26,23.7,6.5
2018-12-27,41.6,12.5
2018-12-28,34.4,10.5
2018-12-29,31.1,4.7
2018-12-30,31.6,10.5
2018-12-31,27,9.1
2019-01-01,35.5,8.7
2019-01-02,25.3,0.8
2019-01-03,34,2.5
2019-01-04,37.4,5
2019-01-05,25.4,10.6
2019-01-06,23.8,6.8
2019-01-07,16.8,3.3
2019-01-08,22.5,8.8
2019-01-09,15.3,6.9
2019-01-10,22.3,11.3
2019-01-11,41.1,15.1
2019-01-12,48.4,12.2
2019-01-13,39.7,12.9
2019-01-14,21.6,5.4
2019-01-15,26.1,5.4
2019-01-16,25.3,3.4
2019-01-17,26.6,0.7
2019-01-18,34.1,3
2019-01-19,37.7,5.2
2019-01-20,36.6,3.3
2019-01-21,41.8,5.4
2019-01-22,40.5,2.8
2019-01-23,37.6,7.1
2019-01-24,33.4,8.9
2019-01-25,33.8,10.1
2019-01-26,39.5,7.2
2019-01-27,37.7,13.9
2019-01-28,34.7,9.6
2019-01-29,33.5,8.5
2019-01-30,26.9,7.8
2019-01-31,19.6,4.3
2019-02-01,30.1,6
2019-02-02,27.9,5.1
2019-02-03,25.1,6.6
2019-02-04,22.8,7.6
2019-02-05,27.9,7.2
2019-02-06,31.1,11.1
2019-02-07,29.6,2
2019-02-08,37.8,10.7
2019-02-09,23.8,8.6
2019-02-10,14.7,10.5
2019-02-11,26.2,4.8
2019-02-12,26.2,3
2019-02-13,28.4,13.5
2019-02-14,26.1,3.1
2019-02-15,35.1,7.9
2019-02-16,29.9,17.3
2019-02-17,26.1,13.1
2019-02-18,32,6.1
2019-02-19,45.9,7.4
2019-02-20,40.1,8.3
2019-02-21,31,6
2019-02-22,45,6.7
2019-02-23,52.5,7
2019-02-24,55.7,4.6
2019-02-25,62.8,14.8
2019-02-26,35.1,13.4
2019-02-27,36.8,8.4
2019-02-28,44.4,4
2019-03-01,57.5,12.9
2019-03-02,41.7,16.1
2019-03-03,26.4,13.3
2019-03-04,16.8,13.9
2019-03-05,15.3,9.9
2019-03-06,24.9,4
2019-03-07,40.9,11
2019-03-08,48.6,11.5
2019-03-09,42.4,11.5
2019-03-10,32.5,10.2
2019-03-11,15.3,17
2019-03-12,14.6,13.8
2019-03-13,19,6
2019-03-14,21.8,9.9
2019-03-15,19.5,16.4
2019-03-16,24.2,16.5
2019-03-17,29.4,9.2
2019-03-18,28.6,2.5
2019-03-19,36.7,5.6
2019-03-20,34.7,5.3
2019-03-21,41.3,4.9
2019-03-22,30.3,13.8
2019-03-23,23.6,9.3
2019-03-24,33,8
2019-03-25,38.2,5.8
2019-03-26,33.1,4.8
2019-03-27,39,7.2
2019-03-28,44.6,3.1
2019-03-29,42.6,6.6
2019-03-30,37.9,6.2
2019-03-31,36.7,2.5
2019-04-01,37.1,6.4
2019-04-02,44.9,7.9
2019-04-03,45.9,2.4
2019-04-04,48.6,6.8
2019-04-05,45.6,5
2019-04-06,43.3,6
2019-04-07,43.4,9.2
2019-04-08,40.5,15.5
2019-04-09,47,5.8
2019-04-10,63.2,9.1
2019-04-11,71.5,7.9
2019-04-12,57.8,6.5
2019-04-13,49.3,13.1
2019-04-14,48.5,2.8
2019-04-15,52.7,6.4
2019-04-16,67.7,11.9
2019-04-17,60.5,11.2
2019-04-18,49.1,7.7
2019-04-19,48.2,12.4
2019-04-20,50.8,7.1
2019-04-21,51.7,7.5
2019-04-22,51,5.8
2019-04-23,52,4.8
2019-04-24,56.6,2.2
2019-04-25,50.3,5.6
2019-04-26,56.2,4.8
2019-04-27,64.2,6.2
2019-04-28,68,8.3
2019-04-29,65.4,6.5
2019-04-30,49.5,8.2
2019-05-01,56.2,10.4
2019-05-02,60.9,6.3
2019-05-03,51.4,12
2019-05-04,51.4,5
2019-05-05,49.9,4.7
2019-05-06,58.4,6.7
2019-05-07,51.5,7.2
2019-05-08,43,11.6
2019-05-09,44.3,5.1
2019-05-10,46.8,4.7
2019-05-11,53.7,5.1
2019-05-12,56.8,3.5
2019-05-13,54.5,4.1
2019-05-14,49.8,5
2019-05-15,56.4,13.8
2019-05-16,62.1,8.8
2019-05-17,72.2,7
2019-05-18,79.4,6.2
2019-05-19,71.6,9.8
2019-05-20,58.1,8.7
2019-05-21,56.4,4.9
2019-05-22,57.3,10.5
2019-05-23,59.7,3.2
2019-05-24,63.1,3.8
2019-05-25,60.9,4.8
2019-05-26,56.3,5.5
2019-05-27,59.8,4
2019-05-28,66.5,3.3
2019-05-29,58.7,7
2019-05-30,57.1,9.9
2019-05-31,61.3,8.4
2019-06-01,62.6,7.1
2019-06-02,57.9,6.9
2019-06-03,58.5,7.5
2019-06-04,57.7,5.4
2019-06-05,58.9,3.9
2019-06-06,54.3,5.1
2019-06-07,58.4,5.1
2019-06-08,65,2.9
2019-06-09,67.3,7.4
2019-06-10,69.5,5.3
2019-06-11,78.2,6.8
2019-06-12,80.3,4.7
2019-06-13,79.7,5.7
2019-06-14,70.1,5.1
2019-06-15,65.8,6.4
